	Of-098	Of-104	Of-112	Of-114	Of-126	Of-130	Of-142	Of-150	Of-152	Of-154	Of-158	Of-162	Of-170	Of-180	Of-200	Of-202	Of-216	Of-224	Of-266	
Durusdinium1076	5	1	4	7	12	2	6	1	0	0	0	6	9	0	0	5	0	0	4	
Durusdinium10766	18	0	1	0	51	14	3	22	0	0	4	66	32	11	0	0	0	5	29	
Durusdinium10767	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10774	0	0	0	0	1	0	0	0	0	0	0	4	2	0	0	0	0	0	2	
Durusdinium10789	2	3	0	0	5	2	1	0	0	0	0	6	2	0	0	0	0	0	1	
Durusdinium1079	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
Durusdinium10792	15	6	4	0	14	7	5	3	1	0	0	31	10	0	0	2	1	0	20	
Durusdinium10793	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	3	0	1	0	
Durusdinium10795	3	2	0	0	20	2	1	0	0	0	0	15	12	0	1	6	0	2	12	
Durusdinium1080	4	0	0	0	13	2	0	0	0	0	0	15	10	1	0	8	0	0	14	
Durusdinium10802	17	7	5	17	40	19	15	4	4	0	6	52	20	0	1	2	0	7	12	
Durusdinium10804	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	
Durusdinium1081	15	0	3	0	41	11	7	2	6	4	0	47	16	2	2	27	0	2	12	
Durusdinium10813	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10817	2	0	0	0	5	0	0	0	0	0	0	7	2	0	0	1	0	0	0	
Durusdinium10818	3	0	0	0	5	4	0	0	0	0	0	2	5	0	0	2	0	0	1	
Durusdinium1082	2	2	0	0	5	3	1	3	0	0	0	3	1	2	0	4	0	0	1	
Durusdinium10820	6	0	6	0	24	0	0	0	0	0	0	18	13	2	0	1	0	5	6	
Durusdinium10822	1	12	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	
Durusdinium10823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium10824	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10825	2	0	0	0	1	2	0	0	0	0	0	4	4	0	1	1	0	0	0	
Durusdinium1083	1	0	0	0	1	0	0	0	0	0	0	7	4	0	0	0	0	0	0	
Durusdinium10831	3	0	0	0	2	7	8	8	0	0	0	5	1	0	0	0	0	0	2	
Durusdinium10837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium10840	4	0	0	0	0	0	2	1	0	0	0	8	1	1	0	0	0	0	2	
Durusdinium10842	1	6	0	0	0	2	0	1	0	2	0	6	2	0	0	0	0	1	5	
Durusdinium10843	13	10	0	0	17	10	0	2	0	0	0	15	15	13	1	7	0	0	8	
Durusdinium10851	3	2	3	0	15	4	2	0	1	0	0	24	4	0	0	2	0	3	6	
Durusdinium10852	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	
Durusdinium10855	14	23	1	0	14	11	0	2	3	0	1	17	13	3	0	12	0	4	7	
Durusdinium10856	0	0	0	0	4	0	0	0	0	0	0	2	2	0	0	0	0	0	3	
Durusdinium10857	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10858	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium10864	0	0	0	0	2	0	2	0	0	0	0	3	0	0	0	0	0	0	1	
Durusdinium10865	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	
Durusdinium10867	1	0	0	0	2	0	0	5	1	0	0	4	1	0	7	0	0	1	0	
Durusdinium10870	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium10872	0	0	1	8	2	1	2	1	0	0	0	5	0	10	0	0	0	0	3	
Durusdinium10877	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	
Durusdinium10878	2	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	1	
Durusdinium10880	1	0	0	0	5	0	0	0	0	0	0	15	10	4	0	2	0	1	4	
Durusdinium10881	14	6	7	0	25	12	10	8	3	11	6	36	20	10	10	7	0	5	8	
Durusdinium10882	15	2	4	0	34	15	0	0	0	0	0	60	22	0	3	1	0	8	22	
Durusdinium10883	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium10889	23	6	13	2	34	27	3	15	1	0	1	33	31	13	4	17	2	18	14	
Durusdinium1089	2	0	0	0	3	0	0	0	0	0	0	2	2	2	0	0	0	0	1	
Durusdinium10893	1	0	0	0	0	1	1	1	0	0	0	2	2	0	0	1	0	0	1	
Durusdinium10894	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	
Durusdinium10897	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	
Durusdinium10898	79	30	12	2	120	61	48	59	16	5	5	164	80	9	10	53	1	23	56	
Durusdinium10899	13	0	5	0	25	7	3	8	0	10	1	67	14	1	1	4	0	3	10	
Durusdinium10902	1	1	2	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	
Durusdinium10903	7	15	3	0	13	3	1	1	0	0	0	9	4	11	0	2	0	2	4	
Durusdinium10906	2	0	0	0	4	0	1	0	0	0	0	6	3	0	0	0	0	0	6	
Durusdinium10908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Durusdinium10912	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium10913	1	2	0	0	6	7	0	0	0	0	0	6	5	0	0	0	0	0	1	
Durusdinium10919	19	4	6	0	26	14	0	16	0	0	0	23	11	0	1	0	0	3	8	
Durusdinium10921	5	5	5	1	19	13	6	10	0	0	3	18	9	6	5	5	0	11	2	
Durusdinium10923	11	2	0	0	12	9	0	5	1	0	0	25	13	1	0	2	0	0	12	
Durusdinium10925	13	19	6	0	29	10	4	16	0	0	6	30	12	0	0	1	0	2	5	
Durusdinium10928	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium1093	0	0	1	0	0	0	1	1	0	0	0	2	1	0	0	4	0	0	1	
Durusdinium10931	20	1	9	0	37	16	9	11	1	0	0	51	28	14	12	32	0	8	5	
Durusdinium10934	18	7	0	0	29	6	6	1	1	0	0	30	5	9	7	4	0	0	10	
Durusdinium10935	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10936	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10938	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium10939	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium10943	11	0	9	0	19	5	2	8	4	0	0	25	12	0	0	12	0	2	6	
Durusdinium10947	17	3	1	0	9	4	5	5	0	0	0	11	3	0	0	2	0	2	8	
Durusdinium1095	0	0	0	0	0	1	0	1	0	0	0	7	0	2	0	0	0	0	1	
Durusdinium10950	0	0	0	3	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
Durusdinium10951	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2	
Durusdinium10955	0	0	1	0	7	6	0	0	0	0	0	9	2	0	0	0	0	0	1	
Durusdinium10963	3	0	0	0	7	5	0	2	0	0	0	17	13	2	0	6	0	1	7	
Durusdinium10965	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	
Durusdinium10968	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium1097	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	
Durusdinium10970	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium10971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium10973	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10977	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium1098	2	1	1	0	2	1	0	0	0	0	0	3	5	2	0	4	0	0	0	
Durusdinium10980	4	0	0	0	4	2	0	1	0	0	0	12	2	0	0	0	0	1	4	
Durusdinium10983	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium10985	13	14	11	2	43	8	0	9	1	0	0	59	16	8	5	0	0	8	16	
Durusdinium10992	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium11001	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
Durusdinium11009	25	14	5	0	39	15	1	7	10	0	0	49	23	4	0	11	0	6	13	
Durusdinium11011	58	33	24	17	50	35	9	39	8	1	14	62	33	23	6	60	3	13	13	
Durusdinium11014	25	7	10	4	50	17	8	11	9	0	0	91	26	1	0	1	0	0	38	
Durusdinium11015	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	
Durusdinium11017	3	0	1	0	6	4	0	6	1	0	0	19	2	1	0	0	0	0	2	
Durusdinium11018	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium11024	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium11027	8	0	1	0	6	3	0	6	0	0	0	12	6	0	0	0	0	3	12	
Durusdinium11032	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium11033	0	0	1	0	6	3	0	6	0	4	4	12	2	0	6	2	0	2	3	
Durusdinium11034	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	3	
Durusdinium11035	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium11037	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	
Durusdinium11040	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium11044	1	5	2	1	6	5	4	2	4	1	0	15	7	0	1	6	0	4	6	
Durusdinium11046	1	5	1	0	7	3	2	0	2	0	0	10	4	0	1	5	0	1	1	
Durusdinium11049	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium1105	2	0	0	0	9	5	2	1	0	0	0	13	1	2	0	0	0	1	5	
Durusdinium11051	24	10	16	0	69	29	12	22	5	15	19	66	52	27	8	70	0	14	13	
Durusdinium11052	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium11053	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium11058	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium1106	3	4	4	0	13	8	5	12	3	2	2	20	3	5	2	20	2	7	4	
Durusdinium11061	28	11	7	3	26	11	2	13	4	6	4	41	46	5	3	22	3	6	20	
Durusdinium11063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Durusdinium11065	22	2	5	0	52	10	10	21	3	0	8	64	34	6	3	14	0	9	16	
Durusdinium11068	1	0	0	0	0	1	0	0	0	0	0	8	3	0	0	0	0	1	0	
Durusdinium11069	13	3	0	0	18	10	4	2	0	3	3	26	8	3	4	11	0	3	6	
Durusdinium11070	2	0	0	0	6	0	0	0	0	0	0	3	5	0	1	0	0	1	3	
Durusdinium11072	52	53	20	43	89	44	27	46	32	8	2	76	40	58	34	90	5	14	17	
Durusdinium11076	13	1	0	0	22	10	1	5	0	0	1	33	4	0	5	0	0	4	24	
Durusdinium11077	0	1	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	
Durusdinium11078	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	
Durusdinium11079	3	0	1	0	2	0	0	1	0	1	0	8	0	0	1	1	0	1	1	
Durusdinium11082	3	1	0	0	4	4	1	1	0	0	0	12	1	11	0	12	0	1	0	
Durusdinium11086	4	0	0	0	4	1	2	0	1	0	0	13	4	0	7	0	0	3	1	
Durusdinium11087	2	0	0	0	2	0	0	0	0	0	0	5	1	2	0	0	0	0	0	
Durusdinium11090	0	0	1	0	2	0	0	0	0	0	0	5	4	0	0	0	0	0	7	
Durusdinium11096	8	0	5	0	10	12	2	10	7	0	0	20	10	12	0	12	0	0	8	
Durusdinium11098	4	1	2	0	13	5	2	0	3	11	0	11	1	2	0	4	0	3	3	
Durusdinium11099	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium111	1	0	3	0	2	0	0	1	0	0	0	5	6	0	0	2	0	0	1	
Durusdinium11102	43	15	2	0	49	8	15	16	0	0	0	97	31	0	0	7	0	4	38	
Durusdinium11103	2	0	4	0	2	0	0	0	0	0	0	1	6	0	0	11	0	1	4	
Durusdinium11105	1	0	0	0	3	3	0	0	0	0	0	4	0	0	0	0	0	0	1	
Durusdinium11106	3	0	0	0	0	0	0	0	0	0	0	2	3	0	0	1	0	0	0	
Durusdinium11115	5	0	3	0	8	0	0	0	2	0	0	13	3	0	0	12	0	0	5	
Durusdinium11116	6	1	0	0	6	1	0	2	2	0	0	10	9	0	0	0	0	0	3	
Durusdinium1112	1	4	1	0	12	5	0	4	0	0	0	12	1	0	0	5	0	3	1	
Durusdinium11122	14	3	1	0	34	3	0	18	0	0	0	44	30	2	6	8	0	1	5	
Durusdinium11124	16	17	7	0	35	14	10	22	4	0	0	33	15	2	0	16	0	2	11	
Durusdinium11127	0	0	1	0	7	2	0	0	0	0	0	11	2	0	0	0	0	1	1	
Durusdinium11128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
Durusdinium11129	0	0	0	0	4	0	0	1	0	0	0	1	1	0	0	2	0	0	0	
Durusdinium11130	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	
Durusdinium11132	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium11133	21	0	7	10	37	18	13	15	0	0	0	83	18	14	0	6	0	6	40	
Durusdinium11136	6	2	0	0	5	5	0	1	0	0	3	10	6	1	0	0	0	5	3	
Durusdinium11137	19	5	10	0	35	7	1	7	0	0	0	63	15	0	1	0	0	1	28	
Durusdinium11139	2	0	0	0	7	3	1	0	0	2	0	11	1	5	2	3	0	4	4	
Durusdinium1114	1	8	0	0	5	3	0	1	0	0	0	6	1	0	0	0	0	0	2	
Durusdinium11143	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium11154	0	0	0	0	2	6	0	0	0	0	0	9	1	0	0	0	0	1	0	
Durusdinium11156	16	0	5	1	14	7	0	1	0	0	0	25	14	7	1	7	0	4	3	
Durusdinium11157	2	0	1	0	7	4	0	0	0	0	0	20	2	0	0	0	0	0	8	
Durusdinium11158	0	0	0	0	0	0	0	3	0	0	1	0	2	1	0	1	0	1	1	
Durusdinium1116	27	5	11	0	68	19	10	23	1	0	0	62	26	2	14	2	0	8	21	
Durusdinium11160	18	0	4	0	26	14	0	10	3	0	0	36	15	4	0	2	0	10	5	
Durusdinium11161	0	0	0	0	4	0	0	1	0	0	0	7	2	0	0	0	0	7	3	
Durusdinium11164	14	5	0	0	25	16	3	4	0	0	0	19	8	18	2	1	0	13	13	
Durusdinium11166	16	14	8	0	34	13	11	20	0	0	0	52	28	6	0	2	0	5	16	
Durusdinium11167	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium1117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
Durusdinium11176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium11177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium11178	2	0	0	0	5	1	0	2	0	0	0	3	1	2	1	1	0	1	0	
Durusdinium11182	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Durusdinium11183	0	0	0	0	3	1	0	0	0	0	0	21	1	0	0	0	0	0	6	
Durusdinium1119	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium11195	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium11198	2	0	0	0	3	0	0	2	2	0	0	1	1	0	0	0	0	0	0	
Durusdinium11199	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium11201	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
Durusdinium1121	5	6	2	0	17	9	0	1	0	0	0	20	5	0	1	1	0	7	12	
Durusdinium11212	0	0	0	0	0	0	0	3	0	0	0	3	1	2	0	0	0	2	0	
Durusdinium11213	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium11216	6	1	1	0	15	4	0	11	0	0	1	12	9	3	0	4	0	4	3	
Durusdinium11221	4	0	0	0	11	4	0	3	0	0	0	9	5	1	0	7	0	0	5	
Durusdinium11222	6	1	1	0	13	6	5	1	0	0	0	14	1	6	7	10	0	0	6	
Durusdinium11223	2	9	0	1	7	1	1	1	0	0	0	8	6	5	0	4	0	0	3	
Durusdinium11226	1	7	1	0	2	1	0	1	1	0	1	6	4	1	0	1	0	1	2	
Durusdinium11229	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium11230	1	1	1	0	3	4	3	4	0	0	2	7	2	2	1	1	0	0	0	
Durusdinium11241	14	1	5	0	18	4	13	0	0	0	0	47	14	2	0	10	0	0	13	
Durusdinium11242	0	0	3	0	4	0	0	0	0	0	0	4	3	1	0	1	0	1	1	
Durusdinium11245	2	3	0	2	6	4	2	6	0	0	0	6	3	3	1	3	0	2	2	
Durusdinium1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium11252	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium11253	0	0	0	1	1	13	0	4	0	0	0	11	2	0	0	0	0	0	7	
Durusdinium11254	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	
Durusdinium11257	1	1	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	5	
Durusdinium11258	36	28	12	0	93	27	19	19	0	0	4	91	58	25	13	17	0	6	34	
Durusdinium11259	25	1	6	7	34	16	4	0	0	0	0	64	13	0	0	15	0	7	27	
Durusdinium11261	8	0	0	0	10	4	2	2	0	0	0	13	1	0	0	1	0	0	4	
Durusdinium11264	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	10	0	3	1	
Durusdinium11269	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	
Durusdinium11271	13	1	1	8	26	5	5	6	1	14	0	39	8	1	0	10	0	2	13	
Durusdinium11274	1	0	0	0	3	1	0	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium11281	26	16	20	0	97	23	10	25	0	0	1	110	41	8	1	25	0	6	31	
Durusdinium11283	0	2	0	0	6	1	2	7	0	0	0	9	2	0	0	0	0	0	0	
Durusdinium11284	25	20	14	0	61	15	14	28	0	1	0	64	35	27	5	16	0	19	13	
Durusdinium11285	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium11288	1	0	0	0	5	1	3	1	0	0	0	4	0	0	0	1	0	0	0	
Durusdinium1129	8	0	2	0	13	6	0	2	9	0	3	13	4	0	0	0	0	4	6	
Durusdinium11291	4	0	0	0	11	7	1	0	0	0	0	6	8	1	0	6	0	3	0	
Durusdinium11292	5	4	9	0	11	3	4	8	0	1	6	24	9	3	3	13	0	1	6	
Durusdinium11294	10	0	1	0	16	5	0	2	0	0	0	25	11	2	0	0	0	1	8	
Durusdinium11300	19	7	16	0	15	28	2	8	0	0	7	65	27	0	0	18	0	7	22	
Durusdinium11301	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
Durusdinium11306	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium11309	9	0	2	0	14	4	2	0	0	0	0	9	2	1	0	1	0	0	7	
Durusdinium11311	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	
Durusdinium11315	0	0	0	0	1	1	0	7	0	0	0	2	0	0	0	0	0	0	1	
Durusdinium11316	2	0	2	0	9	3	0	0	0	0	0	15	4	0	0	0	0	0	3	
Durusdinium11318	4	0	0	0	6	1	0	0	0	0	0	12	4	0	0	14	0	0	3	
Durusdinium1132	0	0	0	0	3	0	0	2	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium11320	0	0	0	0	2	3	0	1	0	10	0	3	0	1	0	0	0	2	0	
Durusdinium11325	3	0	0	0	0	0	0	0	0	0	0	1	3	0	0	13	0	1	0	
Durusdinium11327	12	0	9	3	13	10	0	18	0	0	0	23	5	6	0	4	0	6	12	
Durusdinium11340	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium11341	4	0	2	0	4	0	0	1	0	0	0	5	0	0	0	0	0	0	2	
Durusdinium11342	5	1	1	0	6	1	2	1	0	0	0	10	2	3	1	7	0	1	7	
Durusdinium11346	6	0	0	0	14	6	1	4	0	0	0	17	5	0	5	5	0	0	2	
Durusdinium11350	7	0	1	0	11	5	0	3	0	0	0	14	10	0	1	3	0	1	6	
Durusdinium11351	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium11352	18	7	20	1	65	25	16	25	16	0	10	74	38	14	7	12	0	10	9	
Durusdinium11356	0	0	0	0	0	1	0	0	1	0	1	2	1	0	0	0	0	0	0	
Durusdinium11359	3	9	5	0	6	6	0	8	0	0	0	20	2	0	0	0	0	0	0	
Durusdinium11360	12	4	2	0	25	7	0	8	0	0	0	35	5	0	0	0	0	7	9	
Durusdinium11362	0	3	0	0	2	1	0	1	0	0	0	10	10	3	1	0	0	0	6	
Durusdinium11363	2	0	0	0	2	1	0	0	0	0	0	4	0	0	0	0	0	0	1	
Durusdinium11364	10	15	0	1	21	7	4	8	10	0	0	46	19	9	7	12	0	7	11	
Durusdinium11365	2	1	1	0	3	2	0	0	0	0	2	8	3	1	0	0	0	2	1	
Durusdinium11368	2	3	2	0	12	7	9	7	0	3	0	28	5	0	0	0	0	1	7	
Durusdinium1137	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium11370	2	0	0	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	
Durusdinium11371	78	19	2	31	137	56	12	37	13	0	0	227	83	0	13	26	0	20	85	
Durusdinium11373	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium11376	3	0	0	0	0	1	0	1	0	0	0	2	4	7	0	0	0	0	0	
Durusdinium11378	3	0	0	0	9	0	1	3	0	0	0	10	2	2	0	1	0	0	2	
Durusdinium1138	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	
Durusdinium11381	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium11382	1	0	0	0	7	3	0	2	0	0	0	8	2	0	0	1	0	1	6	
Durusdinium11387	2	0	0	0	6	0	1	0	0	0	0	1	0	0	0	0	0	0	1	
Durusdinium11388	36	22	12	0	71	13	19	37	2	0	10	86	51	13	0	11	0	14	20	
Durusdinium1139	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium11394	3	0	2	5	14	1	1	4	0	0	0	24	11	1	1	6	0	1	3	
Durusdinium11397	1	0	0	0	0	0	0	2	0	0	0	4	4	0	0	0	0	0	0	
Durusdinium11398	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Durusdinium114	0	0	0	0	1	0	0	0	4	0	0	1	0	0	0	0	0	0	0	
Durusdinium11402	7	8	3	0	30	7	5	11	2	0	0	36	15	16	2	17	0	6	19	
Durusdinium11405	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	2	
Durusdinium11409	5	4	0	0	21	1	1	5	6	0	0	21	15	0	3	0	0	2	7	
Durusdinium11411	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
Durusdinium11412	0	0	0	0	4	0	0	0	0	0	0	2	1	0	0	0	0	0	0	
Durusdinium11413	1	1	2	0	0	0	3	7	0	0	0	4	8	2	0	8	0	0	0	
Durusdinium11416	0	0	0	0	4	0	0	0	0	0	0	3	1	0	0	0	0	0	0	
Durusdinium11420	23	1	5	0	48	19	20	9	2	0	4	34	21	21	0	22	1	9	12	
Durusdinium11421	0	0	0	0	3	0	0	3	0	0	0	7	6	0	0	0	0	2	0	
Durusdinium11422	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	1	0	0	2	
Durusdinium11423	15	0	1	0	28	13	1	5	0	0	0	23	14	3	0	0	0	7	6	
Durusdinium11425	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium11428	6	0	7	0	14	9	0	9	0	0	0	14	12	2	0	13	0	8	8	
Durusdinium11429	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Durusdinium1143	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	
Durusdinium11430	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium11439	5	1	1	0	7	0	1	5	0	0	0	5	9	2	0	1	0	0	2	
Durusdinium1144	2	1	0	0	2	0	0	1	0	0	0	7	1	0	0	0	0	0	3	
Durusdinium11440	1	0	0	0	0	0	4	1	0	0	0	7	0	0	0	0	0	0	1	
Durusdinium11443	0	0	0	0	4	0	1	0	0	0	0	1	0	0	0	0	0	1	0	
Durusdinium11445	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium11447	5	4	4	1	17	11	1	6	2	2	0	15	7	3	0	0	0	0	4	
Durusdinium1145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium11451	4	1	1	0	6	6	2	0	0	0	0	9	4	0	0	0	0	1	6	
Durusdinium11452	8	0	0	0	3	0	0	0	0	0	0	8	0	5	0	0	0	0	1	
Durusdinium11455	9	8	16	1	42	13	14	27	10	0	8	50	20	2	2	16	10	10	10	
Durusdinium11456	0	1	0	0	6	3	3	1	3	0	0	10	8	0	0	0	0	9	2	
Durusdinium11457	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	
Durusdinium11460	12	1	4	0	21	5	5	5	0	0	3	25	7	2	4	20	0	1	8	
Durusdinium11461	0	1	0	0	5	0	0	0	0	0	0	4	3	0	0	1	0	0	6	
Durusdinium11464	2	0	3	0	5	0	3	2	0	0	0	5	5	0	0	0	0	0	1	
Durusdinium11468	7	4	5	0	13	12	0	2	0	0	0	30	11	6	1	10	0	7	9	
Durusdinium1147	2	0	0	0	3	1	0	0	0	0	0	4	0	0	0	0	0	0	3	
Durusdinium11472	6	0	4	0	18	4	3	1	1	0	0	23	7	6	1	9	2	5	9	
Durusdinium11479	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium11484	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium11487	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium11496	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	
