"","Of.098","Of.104","Of.112","Of.114","Of.126","Of.130","Of.142","Of.150","Of.152","Of.154","Of.158","Of.162","Of.170","Of.180","Of.200","Of.202","Of.216","Of.224","Of.266"
"Ofaveolata000915",3,0,8,1,1,4,0,0,1,1,0,20,8,2,0,1,0,4,30
"Ofaveolata000917",2,0,0,0,7,1,4,0,0,0,0,10,9,0,0,0,0,0,14
"Ofaveolata000919",831,1276,393,679,425,447,711,220,433,98,306,263,486,590,897,910,62,626,284
"Ofaveolata000921",16,0,10,0,26,24,6,2,3,0,0,39,7,3,2,9,1,10,40
"Ofaveolata000926",498,164,288,90,918,526,191,217,92,12,23,1268,702,180,2,258,19,463,2126
"Ofaveolata000927",122,51,33,40,150,137,81,17,9,4,4,130,78,10,8,37,6,70,181
"Ofaveolata000928",9,1,5,2,30,19,18,2,8,1,0,28,18,3,0,10,0,14,32
"Ofaveolata000929",23,13,5,3,75,11,5,0,11,4,2,7,16,8,0,0,0,4,17
"Ofaveolata000930",14,12,15,7,39,9,5,11,16,2,0,49,14,12,1,4,1,10,51
"Ofaveolata000931",60,11,24,18,160,52,21,38,27,3,21,155,96,34,28,53,1,79,40
"Ofaveolata000948",0,0,0,2,13,0,5,2,0,0,0,16,17,2,0,10,0,9,10
"Ofaveolata000952",69,64,2,6,27,93,15,9,2,0,1,3,8,1,1,4,0,4,254
"Ofaveolata000954",26,1,9,1,21,34,3,5,0,0,0,33,21,2,3,4,0,2,50
"Ofaveolata000957",6,0,2,0,12,3,2,2,0,0,0,24,10,1,0,3,0,1,28
"Ofaveolata000958",22,6,4,0,5,27,2,0,3,0,0,3,4,1,0,2,0,2,63
"Ofaveolata000959",6,0,3,5,2,40,28,9,1,0,0,7,10,1,0,28,0,4,94
"Ofaveolata000960",32,2,10,2,71,30,21,3,5,0,0,52,31,14,1,8,0,22,90
"Ofaveolata000963",25,1,5,0,37,22,1,5,0,3,0,30,10,4,1,11,0,10,135
"Ofaveolata000966",17,11,4,0,16,14,13,4,3,0,0,26,12,3,0,16,1,9,70
"Ofaveolata000971",26,5,10,0,63,24,24,11,5,1,2,42,13,4,0,17,0,31,70
"Ofaveolata000972",14,1,1,0,16,3,3,3,0,0,0,17,10,1,1,0,0,4,18
"Ofaveolata000973",27,2,8,4,43,14,10,11,0,5,6,98,33,3,1,8,0,20,217
"Ofaveolata000974",15,10,11,0,12,25,10,13,3,0,2,26,24,2,4,8,0,24,39
"Ofaveolata000977",12,1,0,1,11,23,10,5,0,0,0,40,14,1,0,15,0,5,80
"Ofaveolata000980",73,21,28,5,98,32,30,23,12,0,0,117,83,11,31,71,1,66,164
"Ofaveolata000983",54,7,20,17,79,29,31,18,4,0,0,120,55,17,1,21,3,38,134
"Ofaveolata000986",36,9,24,5,50,26,17,9,7,0,4,104,50,15,0,10,2,21,145
"Ofaveolata000988",103,28,20,2,94,68,22,19,25,3,6,75,41,13,35,10,0,35,90
"Ofaveolata000991",5,0,1,1,6,6,3,4,1,0,0,13,2,0,0,0,0,4,17
"Ofaveolata000996",26,2,0,0,1,6,0,0,0,0,0,3,3,4,0,0,0,2,11
"Ofaveolata000998",7,8,7,1,5,13,5,6,1,0,0,13,5,3,3,7,0,5,34
"Ofaveolata001002",12,8,2,1,7,13,5,1,5,0,0,12,13,3,0,3,0,2,23
"Ofaveolata001007",31,0,209,17,623,454,79,291,38,0,8,865,293,41,39,53,5,191,532
"Ofaveolata001009",44,69,4,1,27,25,17,7,8,0,0,17,9,7,0,22,0,12,51
"Ofaveolata001010",23,6,11,14,82,32,14,21,4,0,1,121,86,10,10,43,5,44,114
"Ofaveolata001011",8,1,0,10,27,12,14,1,0,1,0,20,11,8,2,0,0,1,26
"Ofaveolata001013",54,13,71,28,168,73,64,66,30,13,19,204,170,78,20,150,6,92,245
"Ofaveolata001014",11,10,1,0,20,12,5,8,0,0,0,21,9,3,0,3,0,6,28
"Ofaveolata001017",10,0,8,0,3,13,3,2,0,0,0,19,6,0,1,4,0,4,19
"Ofaveolata001018",42,18,15,22,59,24,19,9,5,0,0,72,37,11,8,15,0,13,82
"Ofaveolata001020",100,49,87,70,241,200,120,57,93,7,24,247,174,76,17,105,17,137,481
"Ofaveolata001022",73,44,107,59,64,150,96,129,62,25,7,337,261,107,8,109,10,175,422
"Ofaveolata001025",15,4,1,0,49,11,7,1,0,0,0,18,9,7,0,1,0,5,35
"Ofaveolata001028",8,3,1,3,19,10,1,6,12,1,0,20,17,3,1,4,1,9,17
"Ofaveolata001029",13,1,0,0,7,5,3,0,0,0,0,8,1,0,0,0,0,0,18
"Ofaveolata001032",220,33,77,17,260,112,151,49,62,4,13,209,141,82,20,111,9,117,255
"Ofaveolata001035",44,3,1,8,9,79,8,1,0,0,1,13,2,4,0,0,0,7,168
"Ofaveolata001036",44,16,2,8,26,85,8,0,1,5,0,3,1,7,3,3,0,2,155
"Ofaveolata001040",72,3,30,2,54,69,27,10,2,0,2,105,52,13,22,27,4,29,143
"Ofaveolata001047",13,3,0,0,60,9,0,1,0,0,0,11,6,0,0,1,0,2,36
"Ofaveolata001048",55,23,12,1,131,18,8,1,14,0,2,35,19,4,14,8,1,23,38
"Ofaveolata001051",49,38,14,7,45,56,26,7,12,0,3,61,20,14,11,18,0,14,73
"Ofaveolata001052",5,0,0,0,15,3,2,1,9,3,0,14,2,0,0,1,0,8,19
"Ofaveolata001053",89,15,5,9,24,48,12,8,13,0,0,55,29,28,2,35,1,12,85
"Ofaveolata001054",48,7,3,6,7,32,5,0,0,0,0,27,22,0,0,10,0,4,9
"Ofaveolata001056",10,2,0,0,7,9,0,6,5,0,0,19,5,4,0,4,0,6,23
"Ofaveolata001060",35,15,5,0,34,39,12,6,2,0,3,50,16,0,1,5,0,21,85
"Ofaveolata001062",43,2,15,2,60,65,12,7,1,3,1,66,38,8,5,18,0,17,230
"Ofaveolata001063",64,22,42,2,108,69,34,26,9,7,21,127,77,31,12,56,4,46,146
"Ofaveolata001064",68,20,19,4,54,52,23,6,11,0,4,66,41,5,9,7,6,24,124
"Ofaveolata001065",89,64,14,0,29,37,28,39,14,0,1,111,72,18,15,41,0,30,74
"Ofaveolata001067",32,12,17,1,25,20,21,14,0,0,1,28,26,2,5,5,1,12,78
"Ofaveolata001089",33,6,7,6,151,34,11,3,1,2,0,57,23,0,0,3,0,4,47
"Ofaveolata001092",34,25,14,6,32,47,14,18,5,0,0,60,37,13,1,20,0,21,77
"Ofaveolata001095",25,16,6,0,34,19,3,4,6,0,0,31,8,1,0,0,0,21,54
"Ofaveolata001096",15,11,6,0,38,8,6,2,0,0,0,36,17,0,0,5,0,11,72
"Ofaveolata001099",3,0,10,1,24,5,6,19,1,3,0,29,10,0,2,15,0,10,52
"Ofaveolata001100",61,9,19,1,81,59,16,6,0,0,1,102,40,0,4,35,1,56,219
"Ofaveolata001101",48,15,9,4,49,64,18,10,2,0,1,58,28,3,8,21,0,10,74
"Ofaveolata001105",12,6,13,5,15,16,4,5,0,0,3,33,20,10,3,6,0,12,48
"Ofaveolata001106",17,4,9,0,36,8,7,4,2,0,0,14,12,1,1,3,0,7,23
"Ofaveolata001107",4,8,3,0,11,14,3,3,0,0,0,25,7,0,0,1,0,2,26
"Ofaveolata001109",63,0,23,5,75,31,24,14,0,0,0,61,46,11,11,23,0,11,80
"Ofaveolata001110",18,2,15,0,17,7,10,13,0,0,4,27,11,3,0,1,0,5,27
"Ofaveolata001111",1,0,2,1,8,2,4,8,8,0,0,9,14,1,0,0,0,8,20
"Ofaveolata001115",11,1,1,1,7,0,1,1,1,0,1,7,5,0,1,0,0,2,29
"Ofaveolata001116",5,7,0,0,27,3,6,5,0,0,0,24,16,2,0,1,3,6,28
"Ofaveolata001119",4,0,6,0,5,8,7,0,2,0,0,20,3,0,0,0,0,8,35
"Ofaveolata001120",92,19,29,6,169,86,52,38,20,1,4,175,103,62,11,68,1,53,244
"Ofaveolata001121",44,9,21,5,48,22,18,6,6,2,10,80,42,4,3,22,4,10,92
"Ofaveolata001123",18,7,53,6,16,57,22,50,0,0,2,202,132,30,5,42,3,68,174
"Ofaveolata001139",0,0,7,0,8,4,4,2,8,0,0,26,10,3,0,0,1,14,49
"Ofaveolata001154",22,1,3,0,24,6,9,0,10,0,0,36,10,1,1,1,0,6,42
"Ofaveolata001155",17,0,0,0,14,21,4,4,0,0,0,14,5,0,0,3,0,2,42
"Ofaveolata001157",4,0,4,0,3,3,1,9,9,0,0,21,5,0,0,11,0,3,13
"Ofaveolata001158",3,0,2,0,7,3,0,0,0,0,0,14,2,0,0,0,0,1,22
"Ofaveolata001169",13,10,3,2,33,23,7,9,0,0,0,82,22,14,0,6,0,30,44
"Ofaveolata001170",4,0,2,0,4,3,7,0,0,2,0,14,2,0,0,0,0,2,14
"Ofaveolata001171",63,6,57,21,93,130,55,52,10,0,4,231,149,37,9,50,4,80,578
"Ofaveolata001172",13,0,0,0,1,3,1,0,0,0,0,5,1,0,0,0,0,0,13
"Ofaveolata001175",36,8,7,0,53,14,0,4,5,1,0,48,23,4,0,9,0,11,46
"Ofaveolata001176",6,0,9,0,3,0,5,3,5,0,0,33,16,3,0,0,1,5,28
"Ofaveolata001181",9,0,0,0,13,1,6,1,0,0,0,26,2,0,0,0,0,0,22
"Ofaveolata001184",66,115,5,19,8,189,1,4,14,2,0,24,10,6,0,24,1,36,175
"Ofaveolata001187",4,1,4,0,10,6,3,0,0,0,0,10,8,10,0,7,0,2,13
"Ofaveolata001190",57,16,7,1,70,54,22,4,25,0,0,64,25,9,0,15,0,13,115
"Ofaveolata001194",156,65,14,4,73,82,13,7,7,0,0,48,19,2,13,25,0,47,149
"Ofaveolata001197",24,3,26,2,50,26,9,12,6,0,0,78,30,18,0,7,2,52,104
"Ofaveolata001199",22,14,3,0,25,14,3,0,6,0,1,39,12,4,1,10,0,22,51
"Ofaveolata001200",3,0,0,1,7,2,0,0,0,0,0,14,2,0,0,5,0,2,11
"Ofaveolata001202",10,2,0,1,2,6,1,3,0,0,0,3,1,0,0,4,0,0,72
"Ofaveolata001203",27,16,4,3,54,31,10,10,12,0,6,44,21,3,1,15,2,15,48
"Ofaveolata001205",94,16,23,13,130,77,42,29,27,8,0,243,82,16,3,34,2,62,254
"Ofaveolata001207",10,0,0,0,10,15,7,6,0,0,0,18,4,1,0,3,0,6,30
"Ofaveolata001222",11,1,7,0,33,10,7,4,7,0,0,48,35,15,0,3,0,12,98
"Ofaveolata001223",3,3,6,1,32,14,10,5,4,0,0,36,7,1,0,13,0,7,37
"Ofaveolata001225",23,3,8,7,34,25,5,9,0,0,0,65,34,2,3,5,2,22,93
"Ofaveolata001226",21,24,15,2,33,14,10,13,3,0,0,48,27,4,5,17,1,12,87
"Ofaveolata001227",22,79,6,0,15,40,10,2,13,0,1,101,10,1,0,14,2,101,1190
"Ofaveolata001228",42,20,17,4,129,52,20,17,17,0,1,85,64,31,0,24,0,55,273
"Ofaveolata001229",14,3,7,2,26,7,2,1,0,1,1,13,17,3,0,4,1,3,19
"Ofaveolata001230",23,11,7,2,34,28,22,7,0,0,1,75,40,3,1,18,1,19,107
"Ofaveolata001231",15,1,8,1,30,12,6,5,1,1,0,42,39,15,0,23,0,14,62
"Ofaveolata001233",21,0,6,0,32,23,9,4,0,0,0,50,21,3,0,0,0,23,92
"Ofaveolata001234",11,2,7,5,29,17,13,2,1,0,2,32,8,2,2,15,0,11,55
"Ofaveolata001236",208,92,81,32,338,187,116,74,83,32,50,320,203,87,25,149,7,124,526
"Ofaveolata001239",44,9,36,22,51,42,36,33,9,0,0,59,39,8,0,14,5,45,133
"Ofaveolata001240",10,9,8,0,14,24,5,11,10,10,4,23,22,14,1,12,4,13,49
"Ofaveolata001241",32,14,8,0,56,37,8,2,0,0,0,33,29,1,0,11,0,11,103
"Ofaveolata001242",19,1,0,0,12,2,1,1,6,0,0,24,6,0,0,0,0,7,38
"Ofaveolata001243",86,16,26,8,150,86,40,32,4,10,0,333,155,38,5,46,2,64,378
"Ofaveolata001246",10,1,16,12,43,30,11,8,0,0,0,53,24,5,2,20,3,11,82
"Ofaveolata001248",6,0,7,3,17,18,4,0,5,1,3,36,15,9,0,4,1,14,22
"Ofaveolata001249",61,88,0,0,7,36,16,0,1,0,0,10,4,0,0,0,0,2,137
"Ofaveolata001251",5,1,9,3,11,25,4,3,16,0,0,15,7,2,0,5,0,3,16
"Ofaveolata001253",10,0,0,0,1,4,0,0,0,0,0,0,1,0,0,3,0,0,18
"Ofaveolata001255",81,35,10,9,20,80,29,6,15,0,4,56,25,9,1,11,1,9,112
"Ofaveolata001257",0,0,0,0,10,8,0,0,0,0,0,7,3,0,0,0,0,0,16
"Ofaveolata001258",6,0,5,0,8,1,4,3,7,0,0,23,6,1,0,0,0,2,11
"Ofaveolata001261",13,0,5,0,19,3,4,0,0,0,0,15,6,2,0,0,0,0,18
"Ofaveolata001264",16,5,19,1,21,13,11,4,11,0,1,61,30,8,0,10,0,13,37
"Ofaveolata001265",18,2,11,1,28,20,7,15,6,3,3,42,21,3,0,12,0,29,62
"Ofaveolata001267",10,1,7,1,22,25,2,1,1,1,0,61,53,18,3,7,0,18,163
"Ofaveolata001275",11,5,11,4,17,3,1,6,9,0,0,43,36,2,0,12,5,11,33
"Ofaveolata001276",54,28,32,15,221,100,51,55,20,0,7,155,94,50,5,53,4,61,302
"Ofaveolata001281",6,0,14,0,1,4,6,0,0,0,0,23,18,19,0,20,0,3,10
"Ofaveolata001282",34,10,55,8,9,25,41,3,15,1,2,181,63,17,2,64,7,49,49
"Ofaveolata001283",4,0,0,0,9,2,3,3,0,0,3,10,7,0,0,1,0,0,20
"Ofaveolata001293",17,3,10,1,24,5,10,2,0,0,0,62,13,2,0,20,0,7,50
"Ofaveolata001294",14,0,16,10,36,21,22,11,9,0,1,62,43,15,0,12,0,20,92
"Ofaveolata001296",204,31,67,19,327,150,83,52,36,9,15,297,146,35,56,113,6,135,334
"Ofaveolata001297",2,0,0,0,3,2,4,0,1,0,0,13,12,2,0,0,2,1,22
"Ofaveolata001299",10,0,26,10,16,11,12,12,7,0,0,31,34,27,1,7,1,29,42
"Ofaveolata001300",22,18,10,4,54,45,36,9,5,1,11,66,32,5,3,41,4,24,111
"Ofaveolata001301",25,16,18,6,19,42,24,1,8,0,0,40,10,20,4,18,0,17,73
"Ofaveolata001318",1,0,0,0,2,24,0,0,0,0,0,3,0,0,0,0,0,0,14
"Ofaveolata001337",7,0,0,0,5,0,1,0,0,0,0,3,0,0,0,0,0,11,10
"Ofaveolata001338",30,2,21,6,28,30,25,25,9,0,0,107,54,21,5,39,2,39,92
"Ofaveolata001339",68,25,22,19,55,39,31,23,12,3,2,102,42,14,5,30,0,41,131
"Ofaveolata001340",8,7,3,3,11,7,6,0,2,0,0,14,7,2,1,2,4,2,18
"Ofaveolata001341",37,17,22,5,32,39,21,5,5,0,1,52,32,11,11,19,3,10,75
"Ofaveolata001342",4,0,6,5,4,14,2,2,0,0,0,8,11,0,3,0,0,1,20
"Ofaveolata001343",15,8,7,1,7,22,6,5,2,0,0,23,7,0,0,10,0,1,19
"Ofaveolata001346",5,1,0,0,11,5,10,0,3,0,0,31,9,1,0,3,0,12,6
"Ofaveolata001349",16,0,7,1,33,18,1,15,0,1,0,18,35,14,0,1,3,13,17
"Ofaveolata001350",17,13,7,2,36,17,11,6,8,0,3,39,21,3,0,31,6,9,50
"Ofaveolata001354",31,28,3,0,35,38,6,6,0,0,0,52,21,2,1,11,0,6,54
"Ofaveolata001355",83,11,6,11,189,22,27,16,19,0,4,81,44,2,1,5,1,19,95
"Ofaveolata001358",24,7,17,4,50,20,26,10,3,10,2,51,31,5,0,11,0,39,65
"Ofaveolata001359",5,0,3,1,11,7,1,3,0,0,0,9,6,3,0,1,0,6,13
"Ofaveolata001361",11,0,0,0,19,13,0,0,0,0,0,13,6,1,0,0,0,1,9
"Ofaveolata001362",15,0,2,0,18,18,4,1,3,0,0,39,18,24,3,10,0,11,47
"Ofaveolata001363",1,11,3,1,13,6,4,2,1,0,0,16,9,6,0,13,0,9,68
"Ofaveolata001364",47,27,24,1,49,24,23,11,4,0,0,79,34,16,5,17,2,30,100
"Ofaveolata001367",239,210,105,48,234,426,64,75,48,12,9,524,260,78,9,187,22,208,411
"Ofaveolata001369",54,17,51,58,207,109,39,29,39,2,9,219,113,25,25,52,6,76,182
"Ofaveolata001370",24,0,8,2,35,14,15,9,8,0,4,54,9,7,3,3,0,13,80
"Ofaveolata001371",15,1,8,0,6,8,6,0,0,0,0,23,8,8,0,0,0,11,17
"Ofaveolata001372",29,13,11,0,42,14,44,8,6,0,0,43,17,0,0,8,0,6,52
"Ofaveolata001378",35,5,3,1,24,12,11,5,0,0,0,34,17,10,1,12,3,5,49
"Ofaveolata001379",29,23,9,4,76,14,17,2,5,0,1,29,22,0,0,16,0,5,51
"Ofaveolata001380",15,3,7,3,60,40,21,11,3,1,5,64,22,6,5,25,1,25,93
"Ofaveolata001383",295,156,192,81,261,434,177,148,117,36,16,713,424,177,20,331,31,246,755
"Ofaveolata001384",58,44,1,5,7,42,27,0,4,0,0,2,1,0,0,0,0,0,68
"Ofaveolata001385",22,9,3,2,15,9,8,1,0,1,3,21,12,2,0,5,1,26,27
"Ofaveolata001390",97,145,26,25,42,102,30,17,20,6,5,60,60,37,1,45,3,38,64
"Ofaveolata001399",32,10,24,0,39,15,8,14,3,0,0,39,30,6,0,4,1,9,77
"Ofaveolata001400",26,19,16,11,62,54,25,7,15,2,0,81,35,10,3,4,1,20,111
"Ofaveolata001402",31,0,6,0,38,7,7,5,0,0,0,12,13,0,40,11,0,7,20
"Ofaveolata001404",0,0,5,0,0,2,0,5,0,0,0,11,7,0,0,0,0,11,11
"Ofaveolata001406",28,0,14,2,46,30,20,8,1,0,4,41,25,10,5,3,0,16,83
"Ofaveolata001407",28,7,22,3,39,40,25,17,7,0,1,60,20,13,1,8,0,9,62
"Ofaveolata001408",46,26,34,15,83,50,46,21,23,6,1,144,69,9,4,21,1,35,189
"Ofaveolata001409",24,18,17,1,25,19,15,17,4,1,0,49,29,15,6,21,0,18,57
"Ofaveolata001414",33,10,0,3,22,19,9,3,0,0,0,11,4,1,3,1,0,2,31
"Ofaveolata001416",37,10,8,0,92,35,3,6,12,3,2,57,29,16,7,9,0,12,129
"Ofaveolata001417",66,14,7,0,18,88,10,6,0,2,0,15,8,6,0,4,0,16,173
"Ofaveolata001418",48,2,2,2,26,16,9,0,0,0,0,34,19,8,5,7,2,11,64
"Ofaveolata001422",11,11,4,0,10,10,11,9,2,0,0,8,5,1,0,8,0,5,12
"Ofaveolata001424",1,0,0,0,7,3,0,0,0,0,0,12,2,0,0,0,0,3,16
"Ofaveolata001427",14,10,24,24,63,64,42,15,1,4,14,153,90,27,6,25,2,52,79
"Ofaveolata001430",7,2,1,0,15,9,1,6,0,3,0,12,7,9,0,0,0,15,23
"Ofaveolata001433",11,6,4,0,3,11,3,0,0,0,0,3,4,0,0,0,0,2,7
"Ofaveolata001436",4,0,0,0,13,1,0,2,0,0,0,12,0,0,0,0,0,3,22
"Ofaveolata001438",10,5,2,1,24,9,2,0,2,0,0,12,3,5,0,1,1,6,12
"Ofaveolata001441",106,48,21,13,14,119,15,3,4,0,0,56,28,12,27,28,0,16,129
"Ofaveolata001442",36,28,5,3,20,16,4,1,1,5,7,30,21,3,5,12,1,15,55
"Ofaveolata001443",126,59,37,23,207,119,80,35,18,0,10,241,155,32,23,56,3,86,324
"Ofaveolata001446",8,2,1,0,7,10,2,8,1,0,0,20,6,0,0,7,0,10,27
"Ofaveolata001447",5,0,1,0,4,5,0,0,0,0,0,15,3,0,2,0,0,10,22
"Ofaveolata001449",20,7,6,0,16,24,0,2,7,0,1,37,14,9,0,12,0,7,37
"Ofaveolata001450",18,6,15,0,35,26,19,16,15,1,6,46,37,9,0,16,0,15,62
"Ofaveolata001451",10,0,2,1,3,17,0,0,0,0,0,4,1,0,0,0,0,2,24
"Ofaveolata001454",17,3,1,1,7,29,0,1,1,0,0,14,13,0,1,0,0,4,90
"Ofaveolata001460",32,13,19,4,52,41,25,7,4,6,5,46,36,18,1,20,1,19,84
"Ofaveolata001463",26,0,19,0,29,27,21,3,14,1,3,64,29,1,4,15,4,14,59
"Ofaveolata001468",7,2,8,3,20,20,6,3,9,0,6,34,16,0,7,0,0,9,43
"Ofaveolata001470",61,2,39,7,116,44,11,27,16,2,7,143,64,10,0,18,0,51,135
"Ofaveolata001473",0,0,27,7,34,51,6,47,7,0,3,43,35,10,0,0,0,17,39
"Ofaveolata001477",1048,828,318,240,1027,1044,509,220,183,47,49,941,541,222,256,463,16,635,1124
"Ofaveolata001481",9,0,1,0,5,9,0,0,1,0,0,18,7,10,0,0,0,10,22
"Ofaveolata001482",4,0,0,0,10,1,1,0,0,0,0,12,0,7,1,9,0,2,28
"Ofaveolata001483",9,7,0,1,11,14,1,3,6,0,0,14,6,0,0,5,0,9,46
"Ofaveolata001484",47,16,4,6,52,42,14,13,9,1,1,68,35,3,0,18,2,29,92
"Ofaveolata001485",130,55,68,23,186,166,77,26,30,7,4,186,131,52,2,58,1,118,262
"Ofaveolata001486",387,99,69,35,426,173,151,75,50,24,13,264,162,44,12,88,8,130,434
"Ofaveolata001492",0,0,21,2,10,9,5,0,0,0,0,69,24,4,0,2,0,20,80
"Ofaveolata001493",148,13,17,7,150,118,28,21,4,0,16,142,68,20,23,62,6,42,167
"Ofaveolata001494",7,1,1,0,21,10,7,17,0,0,0,13,9,1,0,1,0,2,21
"Ofaveolata001512",205,82,74,21,218,176,70,53,39,8,9,303,177,92,10,116,7,121,325
"Ofaveolata001516",3,3,1,0,21,7,6,0,3,0,0,37,16,4,1,11,0,3,43
"Ofaveolata001519",21,3,6,10,51,31,8,2,3,0,0,47,24,2,5,21,0,20,89
"Ofaveolata001520",93,21,46,18,350,60,54,38,46,6,30,144,79,26,29,69,3,68,122
"Ofaveolata001523",9,0,0,0,14,7,4,0,6,0,0,11,4,0,5,2,0,2,19
"Ofaveolata001524",7,1,8,4,9,15,7,4,12,0,0,10,12,3,4,5,1,6,44
"Ofaveolata001525",2153,1207,735,404,1351,1949,1031,567,476,115,146,2186,1566,824,329,1265,102,1058,4133
"Ofaveolata001526",16,1,5,0,93,14,0,2,0,0,3,15,2,1,0,4,0,2,15
"Ofaveolata001528",11,4,2,5,30,7,3,1,2,0,0,16,4,0,7,4,0,2,19
"Ofaveolata001529",44,13,14,5,105,37,10,3,19,1,10,63,22,11,1,23,0,16,83
"Ofaveolata001530",5,0,2,7,21,3,1,5,0,0,0,11,4,0,0,0,0,5,33
"Ofaveolata001535",3,3,1,1,5,9,11,0,0,0,0,10,4,0,0,15,0,2,32
"Ofaveolata001536",1,0,0,0,7,0,0,0,0,0,0,9,11,0,0,5,0,0,11
"Ofaveolata001538",43,1,61,38,34,33,129,28,7,3,2,158,80,50,9,36,8,64,194
"Ofaveolata001540",311,124,253,95,639,540,294,130,103,10,38,757,468,145,31,267,8,434,1431
"Ofaveolata001541",38,14,5,6,43,30,30,10,4,0,13,50,28,7,2,5,0,13,87
"Ofaveolata001545",27,2,6,0,49,3,10,15,5,0,0,24,27,0,0,7,0,15,48
"Ofaveolata001554",90,2,8,2,60,52,8,16,4,0,0,200,62,16,0,21,1,37,223
"Ofaveolata001559",36,13,12,12,52,24,30,22,21,0,1,99,45,7,18,22,0,30,147
"Ofaveolata001560",0,0,0,0,3,0,0,0,0,0,0,6,4,13,0,0,0,7,19
"Ofaveolata001561",1,0,0,0,8,3,0,1,0,0,0,12,5,0,0,1,0,3,18
"Ofaveolata001562",6,0,17,0,22,10,4,5,3,0,0,32,9,0,1,0,0,14,17
"Ofaveolata001563",5,0,0,0,12,1,0,1,0,0,0,7,10,0,11,1,0,3,7
"Ofaveolata001564",36,11,12,1,64,33,7,21,8,0,2,74,28,14,9,14,2,19,91
"Ofaveolata001565",32,11,22,5,35,53,13,17,17,1,5,62,27,17,0,10,2,12,83
"Ofaveolata001569",25,25,13,13,6,96,28,9,18,2,9,34,27,9,0,13,5,27,91
"Ofaveolata001575",2,0,0,0,9,7,0,0,0,0,0,16,0,0,0,1,0,1,15
"Ofaveolata001577",18,11,2,7,27,19,7,5,11,0,0,16,9,6,0,9,0,0,34
"Ofaveolata001578",15,0,2,0,8,8,12,6,8,0,0,8,9,3,11,1,0,0,39
"Ofaveolata001579",9,1,2,0,5,6,3,0,2,0,0,20,17,1,5,3,0,3,47
"Ofaveolata001580",12,0,3,0,31,6,6,0,4,0,0,23,26,1,0,0,0,12,82
"Ofaveolata001584",23,8,0,0,13,28,3,0,1,0,0,8,9,3,0,0,0,4,38
"Ofaveolata001594",14,0,0,0,3,26,10,2,0,6,0,6,3,0,0,3,0,9,50
"Ofaveolata001596",2,0,0,0,8,13,1,1,0,0,0,7,1,0,0,0,0,7,14
"Ofaveolata001597",5,5,3,0,1,11,1,1,0,6,2,14,2,1,4,13,0,3,23
"Ofaveolata001600",920,1136,62,72,590,363,295,45,72,13,31,277,137,18,13,73,9,65,308
"Ofaveolata001601",75,43,3,15,31,63,11,1,2,0,0,51,15,0,0,15,0,17,40
"Ofaveolata001602",51,2,164,27,935,92,165,79,40,3,16,458,197,38,0,16,8,67,633
"Ofaveolata001604",6,1,16,3,12,7,14,17,7,0,1,22,13,6,0,11,1,0,38
"Ofaveolata001615",19,1,16,1,17,25,17,5,0,0,0,22,12,0,0,7,1,2,38
"Ofaveolata001616",121,77,47,20,111,134,85,18,28,0,33,73,65,22,10,18,5,11,82
"Ofaveolata001617",1,1,6,1,15,1,0,2,1,0,0,13,8,0,1,2,0,1,25
"Ofaveolata001623",17,6,11,0,15,13,20,0,1,0,0,37,17,1,0,12,0,7,41
"Ofaveolata001626",14,1,6,0,33,13,15,5,1,0,0,33,10,1,0,5,0,6,101
"Ofaveolata001629",169,74,25,7,101,100,43,18,1,0,5,131,81,20,22,21,4,36,225
"Ofaveolata001631",14,21,27,43,27,13,23,22,19,0,14,47,36,19,0,45,7,20,61
"Ofaveolata001634",4,2,1,3,8,12,3,1,5,0,2,22,20,1,0,28,1,1,27
"Ofaveolata001636",8,0,3,0,0,2,0,0,4,0,0,26,7,0,0,1,0,1,43
"Ofaveolata001640",19,0,3,0,17,5,0,0,0,0,0,5,1,0,0,0,0,1,6
"Ofaveolata001642",13,1,6,0,25,14,1,0,14,1,1,21,14,0,0,14,3,10,52
"Ofaveolata001645",716,45,309,80,1564,752,150,127,51,12,11,1224,483,122,50,284,8,348,1890
"Ofaveolata001647",208,51,58,56,54,140,119,52,26,9,10,200,96,38,13,48,4,57,394
"Ofaveolata001648",4,0,0,11,15,1,7,7,16,0,0,8,6,0,0,0,0,5,24
"Ofaveolata001649",15,7,16,9,28,31,9,6,1,0,0,43,36,10,0,8,0,20,60
"Ofaveolata001652",118,15,20,3,245,104,72,29,15,0,1,302,126,41,7,22,1,114,301
"Ofaveolata001654",24,20,5,2,19,12,21,7,0,0,0,31,16,1,7,12,5,7,37
"Ofaveolata001655",1,0,2,1,0,3,6,0,1,0,0,11,11,0,0,3,0,5,44
"Ofaveolata001656",43,17,14,13,105,28,10,11,14,0,2,42,23,17,12,15,0,15,49
"Ofaveolata001660",8,12,36,3,50,34,15,22,20,13,8,111,53,12,4,11,4,34,160
"Ofaveolata001661",9,0,1,5,21,16,9,7,0,0,0,63,30,7,4,11,0,34,79
"Ofaveolata001662",94,3,26,1,254,76,43,37,5,1,1,211,107,16,1,29,0,73,246
"Ofaveolata001663",12,8,0,0,4,0,1,0,0,0,0,13,0,0,0,0,0,3,11
"Ofaveolata001666",18,2,2,0,11,2,5,0,0,0,0,10,1,2,1,0,2,4,22
"Ofaveolata001671",16,0,0,0,55,0,0,0,0,0,0,1,0,0,1,0,0,0,0
